,cname,ccode,icode,year,gdp
9675,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1996,6.04726830863522
9676,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1996,4.14077332856783
9677,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1996,0.082413297607502
9678,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1996,5.47855831246945
9679,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1996,5.42375364173722
9680,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1996,4.84875221061756
9681,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1996,4.61924846176451
9682,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1996,7.81818707715229
9683,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1996,5.07844934046102
9684,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1996,7.70000620736124
9685,India,IND,NY.GDP.MKTP.KD.ZG,1996,7.54952224920051
9686,Not classified,INX,NY.GDP.MKTP.KD.ZG,1996,
9687,Ireland,IRL,NY.GDP.MKTP.KD.ZG,1996,7.37962523389375
9688,"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.KD.ZG,1996,6.35052601959309
9689,Iraq,IRQ,NY.GDP.MKTP.KD.ZG,1996,11.0207856446194
9690,Iceland,ISL,NY.GDP.MKTP.KD.ZG,1996,4.56712358678963
9691,Israel,ISR,NY.GDP.MKTP.KD.ZG,1996,5.92829113242992
9692,Italy,ITA,NY.GDP.MKTP.KD.ZG,1996,1.26678480191715
9693,Jamaica,JAM,NY.GDP.MKTP.KD.ZG,1996,-0.113731206115531
9694,Jordan,JOR,NY.GDP.MKTP.KD.ZG,1996,2.08702078168028
9695,Japan,JPN,NY.GDP.MKTP.KD.ZG,1996,3.13387099280445
9696,Kazakhstan,KAZ,NY.GDP.MKTP.KD.ZG,1996,0.500000002073506
9697,Kenya,KEN,NY.GDP.MKTP.KD.ZG,1996,4.14683926876013
9698,Kyrgyz Republic,KGZ,NY.GDP.MKTP.KD.ZG,1996,7.08450239536558
9699,Cambodia,KHM,NY.GDP.MKTP.KD.ZG,1996,5.89750560672952
9700,Kiribati,KIR,NY.GDP.MKTP.KD.ZG,1996,0.0
9701,St. Kitts and Nevis,KNA,NY.GDP.MKTP.KD.ZG,1996,5.84283802585985
9702,"Korea, Rep.",KOR,NY.GDP.MKTP.KD.ZG,1996,7.89070332600667
9703,Kuwait,KWT,NY.GDP.MKTP.KD.ZG,1996,0.605127158807079
9704,Latin America & Caribbean (excluding high income),LAC,NY.GDP.MKTP.KD.ZG,1996,3.87133253343109
9705,Lao PDR,LAO,NY.GDP.MKTP.KD.ZG,1996,6.9283237283322
9706,Lebanon,LBN,NY.GDP.MKTP.KD.ZG,1996,11.2859357161668
9707,Liberia,LBR,NY.GDP.MKTP.KD.ZG,1996,12.1212121212121
9708,Libya,LBY,NY.GDP.MKTP.KD.ZG,1996,2.13412318698012
9709,St. Lucia,LCA,NY.GDP.MKTP.KD.ZG,1996,2.92258795742219
9710,Latin America & Caribbean,LCN,NY.GDP.MKTP.KD.ZG,1996,3.96815796838408
9711,Least developed countries: UN classification,LDC,NY.GDP.MKTP.KD.ZG,1996,5.6143322534068
9712,Low income,LIC,NY.GDP.MKTP.KD.ZG,1996,5.76413539063114
9713,Liechtenstein,LIE,NY.GDP.MKTP.KD.ZG,1996,6.90530179973636
9714,Sri Lanka,LKA,NY.GDP.MKTP.KD.ZG,1996,3.79996720568178
9715,Lower middle income,LMC,NY.GDP.MKTP.KD.ZG,1996,6.3469082907483
9716,Low & middle income,LMY,NY.GDP.MKTP.KD.ZG,1996,6.22087374123154
9717,Lesotho,LSO,NY.GDP.MKTP.KD.ZG,1996,5.59703605867827
9718,Late-demographic dividend,LTE,NY.GDP.MKTP.KD.ZG,1996,5.0778777604869
9719,Lithuania,LTU,NY.GDP.MKTP.KD.ZG,1996,5.15846431747072
9720,Luxembourg,LUX,NY.GDP.MKTP.KD.ZG,1996,1.39807448266822
9721,Latvia,LVA,NY.GDP.MKTP.KD.ZG,1996,2.58801533086384
9722,"Macao SAR, China",MAC,NY.GDP.MKTP.KD.ZG,1996,-0.418913313977598
9723,St. Martin (French part),MAF,NY.GDP.MKTP.KD.ZG,1996,
9724,Morocco,MAR,NY.GDP.MKTP.KD.ZG,1996,12.3728762700496
9725,Monaco,MCO,NY.GDP.MKTP.KD.ZG,1996,1.11073274895381
9726,Moldova,MDA,NY.GDP.MKTP.KD.ZG,1996,-5.87706028626823
9727,Madagascar,MDG,NY.GDP.MKTP.KD.ZG,1996,2.15420447175147
9728,Maldives,MDV,NY.GDP.MKTP.KD.ZG,1996,7.85864717951699
9729,Middle East & North Africa,MEA,NY.GDP.MKTP.KD.ZG,1996,4.94971924923074
9730,Mexico,MEX,NY.GDP.MKTP.KD.ZG,1996,6.21829715869302
9731,Marshall Islands,MHL,NY.GDP.MKTP.KD.ZG,1996,-10.3029467706811
9732,Middle income,MIC,NY.GDP.MKTP.KD.ZG,1996,6.23018717587054
9733,North Macedonia,MKD,NY.GDP.MKTP.KD.ZG,1996,1.18510388873231
9734,Mali,MLI,NY.GDP.MKTP.KD.ZG,1996,7.05578540412266
9735,Malta,MLT,NY.GDP.MKTP.KD.ZG,1996,3.7773357615833
9736,Myanmar,MMR,NY.GDP.MKTP.KD.ZG,1996,6.44271534713997
9737,Middle East & North Africa (excluding high income),MNA,NY.GDP.MKTP.KD.ZG,1996,6.18060969908537
9738,Montenegro,MNE,NY.GDP.MKTP.KD.ZG,1996,
9739,Mongolia,MNG,NY.GDP.MKTP.KD.ZG,1996,2.23509384338665
9740,Northern Mariana Islands,MNP,NY.GDP.MKTP.KD.ZG,1996,
9741,Mozambique,MOZ,NY.GDP.MKTP.KD.ZG,1996,10.6959109797718
9742,Mauritania,MRT,NY.GDP.MKTP.KD.ZG,1996,5.81882663411955
9743,Mauritius,MUS,NY.GDP.MKTP.KD.ZG,1996,5.58784392666244
9744,Malawi,MWI,NY.GDP.MKTP.KD.ZG,1996,7.31668178120226
9745,Malaysia,MYS,NY.GDP.MKTP.KD.ZG,1996,10.0027006861844
9746,North America,NAC,NY.GDP.MKTP.KD.ZG,1996,3.60731811621106
9747,Namibia,NAM,NY.GDP.MKTP.KD.ZG,1996,3.19132430111469
9748,New Caledonia,NCL,NY.GDP.MKTP.KD.ZG,1996,0.449879083505621
9749,Niger,NER,NY.GDP.MKTP.KD.ZG,1996,0.100530504281409
9750,Nigeria,NGA,NY.GDP.MKTP.KD.ZG,1996,4.19592404660108
9751,Nicaragua,NIC,NY.GDP.MKTP.KD.ZG,1996,6.3442683605154
9752,Netherlands,NLD,NY.GDP.MKTP.KD.ZG,1996,3.49874212057929
9753,Norway,NOR,NY.GDP.MKTP.KD.ZG,1996,5.02796426577115
9754,Nepal,NPL,NY.GDP.MKTP.KD.ZG,1996,5.32828417508708
9755,Nauru,NRU,NY.GDP.MKTP.KD.ZG,1996,-11.8594907839841
9756,New Zealand,NZL,NY.GDP.MKTP.KD.ZG,1996,3.61087254135366
9757,OECD members,OED,NY.GDP.MKTP.KD.ZG,1996,3.10541007928522
9758,Oman,OMN,NY.GDP.MKTP.KD.ZG,1996,3.04593990978547
9759,Other small states,OSS,NY.GDP.MKTP.KD.ZG,1996,3.86698548627116
9760,Pakistan,PAK,NY.GDP.MKTP.KD.ZG,1996,4.84658128681654
9761,Panama,PAN,NY.GDP.MKTP.KD.ZG,1996,4.07970294879544
9762,Peru,PER,NY.GDP.MKTP.KD.ZG,1996,2.79897307912609
9763,Philippines,PHL,NY.GDP.MKTP.KD.ZG,1996,5.8603478716379
9764,Palau,PLW,NY.GDP.MKTP.KD.ZG,1996,10.4000497763267
9765,Papua New Guinea,PNG,NY.GDP.MKTP.KD.ZG,1996,7.73369579796399
9766,Poland,POL,NY.GDP.MKTP.KD.ZG,1996,6.11554281136426
9767,Pre-demographic dividend,PRE,NY.GDP.MKTP.KD.ZG,1996,5.62606746343451
9768,Puerto Rico,PRI,NY.GDP.MKTP.KD.ZG,1996,2.31370750870583
9769,"Korea, Dem. People's Rep.",PRK,NY.GDP.MKTP.KD.ZG,1996,
9770,Portugal,PRT,NY.GDP.MKTP.KD.ZG,1996,3.50424706916527
9771,Paraguay,PRY,NY.GDP.MKTP.KD.ZG,1996,1.57378513175006
9772,West Bank and Gaza,PSE,NY.GDP.MKTP.KD.ZG,1996,1.2151507733079
9773,Pacific island small states,PSS,NY.GDP.MKTP.KD.ZG,1996,3.15724110871942
9774,Post-demographic dividend,PST,NY.GDP.MKTP.KD.ZG,1996,2.92228548916607
9775,French Polynesia,PYF,NY.GDP.MKTP.KD.ZG,1996,-0.668536562658289
9776,Qatar,QAT,NY.GDP.MKTP.KD.ZG,1996,4.373910576098
9777,Romania,ROU,NY.GDP.MKTP.KD.ZG,1996,3.90770208816159
9778,Russian Federation,RUS,NY.GDP.MKTP.KD.ZG,1996,-3.7550694383594
9779,Rwanda,RWA,NY.GDP.MKTP.KD.ZG,1996,12.7456957661744
9780,South Asia,SAS,NY.GDP.MKTP.KD.ZG,1996,6.70815463580475
9781,Saudi Arabia,SAU,NY.GDP.MKTP.KD.ZG,1996,2.63741235312183
9782,Sudan,SDN,NY.GDP.MKTP.KD.ZG,1996,5.9191237633176
9783,Senegal,SEN,NY.GDP.MKTP.KD.ZG,1996,2.01997720854131
9784,Singapore,SGP,NY.GDP.MKTP.KD.ZG,1996,7.47139086002002
9785,Solomon Islands,SLB,NY.GDP.MKTP.KD.ZG,1996,1.6099076346426
9786,Sierra Leone,SLE,NY.GDP.MKTP.KD.ZG,1996,1.75382010464673
9787,El Salvador,SLV,NY.GDP.MKTP.KD.ZG,1996,0.811461899328009
9788,San Marino,SMR,NY.GDP.MKTP.KD.ZG,1996,
9789,Somalia,SOM,NY.GDP.MKTP.KD.ZG,1996,8.04601505005682
9790,Serbia,SRB,NY.GDP.MKTP.KD.ZG,1996,6.26408264292986
9791,Sub-Saharan Africa (excluding high income),SSA,NY.GDP.MKTP.KD.ZG,1996,5.12573987302123
9792,South Sudan,SSD,NY.GDP.MKTP.KD.ZG,1996,
9793,Sub-Saharan Africa,SSF,NY.GDP.MKTP.KD.ZG,1996,5.13087687183516
9794,Small states,SST,NY.GDP.MKTP.KD.ZG,1996,3.8668302896496
9795,Sao Tome and Principe,STP,NY.GDP.MKTP.KD.ZG,1996,1.49999999373425
9796,Suriname,SUR,NY.GDP.MKTP.KD.ZG,1996,1.00000122281456
9797,Slovak Republic,SVK,NY.GDP.MKTP.KD.ZG,1996,6.61989812050714
9798,Slovenia,SVN,NY.GDP.MKTP.KD.ZG,1996,3.20300580852732
9799,Sweden,SWE,NY.GDP.MKTP.KD.ZG,1996,1.57945640649923
9800,Eswatini,SWZ,NY.GDP.MKTP.KD.ZG,1996,3.84205363771881
9801,Sint Maarten (Dutch part),SXM,NY.GDP.MKTP.KD.ZG,1996,
9802,Seychelles,SYC,NY.GDP.MKTP.KD.ZG,1996,9.99794595219808
9803,Syrian Arab Republic,SYR,NY.GDP.MKTP.KD.ZG,1996,9.82556940470964
9804,Turks and Caicos Islands,TCA,NY.GDP.MKTP.KD.ZG,1996,
9805,Chad,TCD,NY.GDP.MKTP.KD.ZG,1996,2.21447303467441
9806,East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.MKTP.KD.ZG,1996,9.06252992263946
9807,Europe & Central Asia (IDA & IBRD countries),TEC,NY.GDP.MKTP.KD.ZG,1996,1.0176644312447
9808,Togo,TGO,NY.GDP.MKTP.KD.ZG,1996,8.83621163151392
9809,Thailand,THA,NY.GDP.MKTP.KD.ZG,1996,5.65194446499471
9810,Tajikistan,TJK,NY.GDP.MKTP.KD.ZG,1996,-16.6999984353389
9811,Turkmenistan,TKM,NY.GDP.MKTP.KD.ZG,1996,6.69999216064754
9812,Latin America & the Caribbean (IDA & IBRD countries),TLA,NY.GDP.MKTP.KD.ZG,1996,3.96678234653203
9813,Timor-Leste,TLS,NY.GDP.MKTP.KD.ZG,1996,7.98218284327299
9814,Middle East & North Africa (IDA & IBRD countries),TMN,NY.GDP.MKTP.KD.ZG,1996,6.2193962570733
9815,Tonga,TON,NY.GDP.MKTP.KD.ZG,1996,1.80553121695688
9816,South Asia (IDA & IBRD),TSA,NY.GDP.MKTP.KD.ZG,1996,6.70815463580476
9817,Sub-Saharan Africa (IDA & IBRD countries),TSS,NY.GDP.MKTP.KD.ZG,1996,5.13087687183511
9818,Trinidad and Tobago,TTO,NY.GDP.MKTP.KD.ZG,1996,7.13447746480871
9819,Tunisia,TUN,NY.GDP.MKTP.KD.ZG,1996,7.14608096782061
9820,Turkiye,TUR,NY.GDP.MKTP.KD.ZG,1996,7.37966447375686
9821,Tuvalu,TUV,NY.GDP.MKTP.KD.ZG,1996,-5.96137047461905
9822,Tanzania,TZA,NY.GDP.MKTP.KD.ZG,1996,4.54436680394173
9823,Uganda,UGA,NY.GDP.MKTP.KD.ZG,1996,9.07211457909349
9824,Ukraine,UKR,NY.GDP.MKTP.KD.ZG,1996,-10.0
9825,Upper middle income,UMC,NY.GDP.MKTP.KD.ZG,1996,6.19856275682858
9826,Uruguay,URY,NY.GDP.MKTP.KD.ZG,1996,5.57795776385868
9827,United States,USA,NY.GDP.MKTP.KD.ZG,1996,3.7727726858688
9828,Uzbekistan,UZB,NY.GDP.MKTP.KD.ZG,1996,1.70000000306203
9829,St. Vincent and the Grenadines,VCT,NY.GDP.MKTP.KD.ZG,1996,1.28791200314089
9830,"Venezuela, RB",VEN,NY.GDP.MKTP.KD.ZG,1996,-0.197837256663462
9831,British Virgin Islands,VGB,NY.GDP.MKTP.KD.ZG,1996,
9832,Virgin Islands (U.S.),VIR,NY.GDP.MKTP.KD.ZG,1996,
9833,Viet Nam,VNM,NY.GDP.MKTP.KD.ZG,1996,9.34001749939179
9834,Vanuatu,VUT,NY.GDP.MKTP.KD.ZG,1996,2.3273354164422
9835,World,WLD,NY.GDP.MKTP.KD.ZG,1996,3.57468642667359
9836,Samoa,WSM,NY.GDP.MKTP.KD.ZG,1996,7.17896881783187
9837,Kosovo,XKX,NY.GDP.MKTP.KD.ZG,1996,
9838,"Yemen, Rep.",YEM,NY.GDP.MKTP.KD.ZG,1996,4.63496731668951
9839,South Africa,ZAF,NY.GDP.MKTP.KD.ZG,1996,4.29999999726792
9840,Zambia,ZMB,NY.GDP.MKTP.KD.ZG,1996,6.21854648894293
9841,Zimbabwe,ZWE,NY.GDP.MKTP.KD.ZG,1996,10.3606967662626
9842,Aruba,ABW,NY.GDP.MKTP.KD.ZG,1997,7.04687499241221
9843,Africa Eastern and Southern,AFE,NY.GDP.MKTP.KD.ZG,1997,3.83877754516632
9844,Afghanistan,AFG,NY.GDP.MKTP.KD.ZG,1997,
9845,Africa Western and Central,AFW,NY.GDP.MKTP.KD.ZG,1997,4.44702715320035
9846,Angola,AGO,NY.GDP.MKTP.KD.ZG,1997,7.27427735460373
9847,Albania,ALB,NY.GDP.MKTP.KD.ZG,1997,-10.9199840781391
9848,Andorra,AND,NY.GDP.MKTP.KD.ZG,1997,9.06767205144135
9849,Arab World,ARB,NY.GDP.MKTP.KD.ZG,1997,4.94370376893526
9850,United Arab Emirates,ARE,NY.GDP.MKTP.KD.ZG,1997,8.1903986491688
9851,Argentina,ARG,NY.GDP.MKTP.KD.ZG,1997,8.1110467707457
9852,Armenia,ARM,NY.GDP.MKTP.KD.ZG,1997,3.32107970046953
9853,American Samoa,ASM,NY.GDP.MKTP.KD.ZG,1997,
9854,Antigua and Barbuda,ATG,NY.GDP.MKTP.KD.ZG,1997,5.47119474015174
9855,Australia,AUS,NY.GDP.MKTP.KD.ZG,1997,3.91318943203036
9856,Austria,AUT,NY.GDP.MKTP.KD.ZG,1997,2.09359938952392
9857,Azerbaijan,AZE,NY.GDP.MKTP.KD.ZG,1997,5.80000014795783
9858,Burundi,BDI,NY.GDP.MKTP.KD.ZG,1997,-1.58999999685828
9859,Belgium,BEL,NY.GDP.MKTP.KD.ZG,1997,3.79365762950188
9860,Benin,BEN,NY.GDP.MKTP.KD.ZG,1997,5.73468837521307
9861,Burkina Faso,BFA,NY.GDP.MKTP.KD.ZG,1997,6.31683473483768
9862,Bangladesh,BGD,NY.GDP.MKTP.KD.ZG,1997,4.4898964976265
9863,Bulgaria,BGR,NY.GDP.MKTP.KD.ZG,1997,-14.1153807642086
9864,Bahrain,BHR,NY.GDP.MKTP.KD.ZG,1997,3.09299978673204
9865,"Bahamas, The",BHS,NY.GDP.MKTP.KD.ZG,1997,1.28775320549799
9866,Bosnia and Herzegovina,BIH,NY.GDP.MKTP.KD.ZG,1997,36.6411284670344
9867,Belarus,BLR,NY.GDP.MKTP.KD.ZG,1997,11.4000054580737
9868,Belize,BLZ,NY.GDP.MKTP.KD.ZG,1997,4.23461651345727
9869,Bermuda,BMU,NY.GDP.MKTP.KD.ZG,1997,4.60000084263363
9870,Bolivia,BOL,NY.GDP.MKTP.KD.ZG,1997,4.95420874299721
9871,Brazil,BRA,NY.GDP.MKTP.KD.ZG,1997,3.39484598630671
9872,Barbados,BRB,NY.GDP.MKTP.KD.ZG,1997,4.74010234311876
9873,Brunei Darussalam,BRN,NY.GDP.MKTP.KD.ZG,1997,-1.47117157218257
9874,Bhutan,BTN,NY.GDP.MKTP.KD.ZG,1997,5.37383856304811
9875,Botswana,BWA,NY.GDP.MKTP.KD.ZG,1997,8.32589088396591
9876,Central African Republic,CAF,NY.GDP.MKTP.KD.ZG,1997,5.29993601826074
9877,Canada,CAN,NY.GDP.MKTP.KD.ZG,1997,4.28016686255228
9878,Central Europe and the Baltics,CEB,NY.GDP.MKTP.KD.ZG,1997,2.31365177673806
9879,Switzerland,CHE,NY.GDP.MKTP.KD.ZG,1997,2.26132523902862
9880,Channel Islands,CHI,NY.GDP.MKTP.KD.ZG,1997,
9881,Chile,CHL,NY.GDP.MKTP.KD.ZG,1997,7.39173926780252
9882,China,CHN,NY.GDP.MKTP.KD.ZG,1997,9.23677989187537
9883,Cote d'Ivoire,CIV,NY.GDP.MKTP.KD.ZG,1997,9.6488400474633
9884,Cameroon,CMR,NY.GDP.MKTP.KD.ZG,1997,4.52731376625037
9885,"Congo, Dem. Rep.",COD,NY.GDP.MKTP.KD.ZG,1997,-5.61704659870088
9886,"Congo, Rep.",COG,NY.GDP.MKTP.KD.ZG,1997,-0.624812152260716
9887,Colombia,COL,NY.GDP.MKTP.KD.ZG,1997,3.43029367788374
9888,Comoros,COM,NY.GDP.MKTP.KD.ZG,1997,4.03015366772979
9889,Cabo Verde,CPV,NY.GDP.MKTP.KD.ZG,1997,11.1184260583756
9890,Costa Rica,CRI,NY.GDP.MKTP.KD.ZG,1997,5.4761657748118
9891,Caribbean small states,CSS,NY.GDP.MKTP.KD.ZG,1997,3.39155359893778
9892,Cuba,CUB,NY.GDP.MKTP.KD.ZG,1997,2.78342505957131
9893,Curacao,CUW,NY.GDP.MKTP.KD.ZG,1997,
9894,Cayman Islands,CYM,NY.GDP.MKTP.KD.ZG,1997,
9895,Cyprus,CYP,NY.GDP.MKTP.KD.ZG,1997,2.64089463952175
9896,Czechia,CZE,NY.GDP.MKTP.KD.ZG,1997,-0.518331043362068
9897,Germany,DEU,NY.GDP.MKTP.KD.ZG,1997,1.79216082094591
9898,Djibouti,DJI,NY.GDP.MKTP.KD.ZG,1997,
9899,Dominica,DMA,NY.GDP.MKTP.KD.ZG,1997,2.18562770161429
9900,Denmark,DNK,NY.GDP.MKTP.KD.ZG,1997,3.26089015774798
9901,Dominican Republic,DOM,NY.GDP.MKTP.KD.ZG,1997,8.88526906590393
9902,Algeria,DZA,NY.GDP.MKTP.KD.ZG,1997,1.09999993888552
9903,East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.KD.ZG,1997,7.34262879772282
9904,Early-demographic dividend,EAR,NY.GDP.MKTP.KD.ZG,1997,4.80980970000336
9905,East Asia & Pacific,EAS,NY.GDP.MKTP.KD.ZG,1997,4.05442243934627
9906,Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.KD.ZG,1997,5.53323283364244
9907,Europe & Central Asia,ECS,NY.GDP.MKTP.KD.ZG,1997,3.07603084913983
9908,Ecuador,ECU,NY.GDP.MKTP.KD.ZG,1997,4.32786476432231
9909,"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.KD.ZG,1997,5.49235474302942
9910,Euro area,EMU,NY.GDP.MKTP.KD.ZG,1997,2.72141612537315
9911,Eritrea,ERI,NY.GDP.MKTP.KD.ZG,1997,7.90868457794079
9912,Spain,ESP,NY.GDP.MKTP.KD.ZG,1997,3.70249462716615
9913,Estonia,EST,NY.GDP.MKTP.KD.ZG,1997,13.0500147441833
9914,Ethiopia,ETH,NY.GDP.MKTP.KD.ZG,1997,3.13390685087593
9915,European Union,EUU,NY.GDP.MKTP.KD.ZG,1997,2.65318759689679
9916,Fragile and conflict affected situations,FCS,NY.GDP.MKTP.KD.ZG,1997,4.54104098108053
9917,Finland,FIN,NY.GDP.MKTP.KD.ZG,1997,6.33379565418399
9918,Fiji,FJI,NY.GDP.MKTP.KD.ZG,1997,-2.1999993686925
9919,France,FRA,NY.GDP.MKTP.KD.ZG,1997,2.33629652937944
9920,Faroe Islands,FRO,NY.GDP.MKTP.KD.ZG,1997,
9921,"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.KD.ZG,1997,-6.0609374365163
9922,Gabon,GAB,NY.GDP.MKTP.KD.ZG,1997,5.73836739483843
9923,United Kingdom,GBR,NY.GDP.MKTP.KD.ZG,1997,4.92492865169534
9924,Georgia,GEO,NY.GDP.MKTP.KD.ZG,1997,10.5208042446244
9925,Ghana,GHA,NY.GDP.MKTP.KD.ZG,1997,4.19635744019571
9926,Gibraltar,GIB,NY.GDP.MKTP.KD.ZG,1997,
9927,Guinea,GIN,NY.GDP.MKTP.KD.ZG,1997,5.18160345773762
9928,"Gambia, The",GMB,NY.GDP.MKTP.KD.ZG,1997,4.89999910999681
9929,Guinea-Bissau,GNB,NY.GDP.MKTP.KD.ZG,1997,6.50000000000006
9930,Equatorial Guinea,GNQ,NY.GDP.MKTP.KD.ZG,1997,149.972963487965
9931,Greece,GRC,NY.GDP.MKTP.KD.ZG,1997,4.48419924932439
9932,Grenada,GRD,NY.GDP.MKTP.KD.ZG,1997,5.01549460936745
9933,Greenland,GRL,NY.GDP.MKTP.KD.ZG,1997,1.46892638096972
9934,Guatemala,GTM,NY.GDP.MKTP.KD.ZG,1997,4.36408994678341
9935,Guam,GUM,NY.GDP.MKTP.KD.ZG,1997,
9936,Guyana,GUY,NY.GDP.MKTP.KD.ZG,1997,6.18066561019938
9937,High income,HIC,NY.GDP.MKTP.KD.ZG,1997,3.47761192572679
9938,"Hong Kong SAR, China",HKG,NY.GDP.MKTP.KD.ZG,1997,5.09974443529021
9939,Honduras,HND,NY.GDP.MKTP.KD.ZG,1997,4.59808306248539
9940,Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.KD.ZG,1997,5.58070096992007
9941,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1997,6.16938090310968
9942,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1997,2.70471393077787
9943,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1997,3.1431221936127
9944,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1997,5.35600594664558
9945,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1997,5.21806590656581
9946,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1997,3.76212878432776
9947,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1997,2.0020170424401
9948,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1997,4.6998788540334
9949,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1997,5.51602530064146
9950,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1997,8.5999943330298
9951,India,IND,NY.GDP.MKTP.KD.ZG,1997,4.04982084998183
9952,Not classified,INX,NY.GDP.MKTP.KD.ZG,1997,
9953,Ireland,IRL,NY.GDP.MKTP.KD.ZG,1997,11.0217645430167
9954,"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.KD.ZG,1997,1.35039927371557
9955,Iraq,IRQ,NY.GDP.MKTP.KD.ZG,1997,21.2379361268454
9956,Iceland,ISL,NY.GDP.MKTP.KD.ZG,1997,5.7716124249294
9957,Israel,ISR,NY.GDP.MKTP.KD.ZG,1997,3.79045235024513
9958,Italy,ITA,NY.GDP.MKTP.KD.ZG,1997,1.83021223388438
9959,Jamaica,JAM,NY.GDP.MKTP.KD.ZG,1997,-1.14045987235463
9960,Jordan,JOR,NY.GDP.MKTP.KD.ZG,1997,3.30847538304737
9961,Japan,JPN,NY.GDP.MKTP.KD.ZG,1997,0.981228732132223
9962,Kazakhstan,KAZ,NY.GDP.MKTP.KD.ZG,1997,1.69999999949513
9963,Kenya,KEN,NY.GDP.MKTP.KD.ZG,1997,0.474901921293579
9964,Kyrgyz Republic,KGZ,NY.GDP.MKTP.KD.ZG,1997,9.91525389550945
9965,Cambodia,KHM,NY.GDP.MKTP.KD.ZG,1997,4.00662107898111
9966,Kiribati,KIR,NY.GDP.MKTP.KD.ZG,1997,1.14285714285714
9967,St. Kitts and Nevis,KNA,NY.GDP.MKTP.KD.ZG,1997,6.82396677607342
9968,"Korea, Rep.",KOR,NY.GDP.MKTP.KD.ZG,1997,6.17055242658977
9969,Kuwait,KWT,NY.GDP.MKTP.KD.ZG,1997,2.47332525804084
9970,Latin America & Caribbean (excluding high income),LAC,NY.GDP.MKTP.KD.ZG,1997,5.28283210805557
9971,Lao PDR,LAO,NY.GDP.MKTP.KD.ZG,1997,6.87209127120695
9972,Lebanon,LBN,NY.GDP.MKTP.KD.ZG,1997,1.05496666740667
9973,Liberia,LBR,NY.GDP.MKTP.KD.ZG,1997,106.279809220986
9974,Libya,LBY,NY.GDP.MKTP.KD.ZG,1997,5.21267102701061
9975,St. Lucia,LCA,NY.GDP.MKTP.KD.ZG,1997,-0.694130142059308
9976,Latin America & Caribbean,LCN,NY.GDP.MKTP.KD.ZG,1997,5.39049160652092
9977,Least developed countries: UN classification,LDC,NY.GDP.MKTP.KD.ZG,1997,5.3946908413882
9978,Low income,LIC,NY.GDP.MKTP.KD.ZG,1997,6.19492450867223
9979,Liechtenstein,LIE,NY.GDP.MKTP.KD.ZG,1997,7.22513485456875
9980,Sri Lanka,LKA,NY.GDP.MKTP.KD.ZG,1997,6.40539969571286
9981,Lower middle income,LMC,NY.GDP.MKTP.KD.ZG,1997,3.97564420529457
9982,Low & middle income,LMY,NY.GDP.MKTP.KD.ZG,1997,5.63831060265734
9983,Lesotho,LSO,NY.GDP.MKTP.KD.ZG,1997,3.70360343607432
9984,Late-demographic dividend,LTE,NY.GDP.MKTP.KD.ZG,1997,5.59481880377923
9985,Lithuania,LTU,NY.GDP.MKTP.KD.ZG,1997,8.31092156187248
9986,Luxembourg,LUX,NY.GDP.MKTP.KD.ZG,1997,5.41983329431434
9987,Latvia,LVA,NY.GDP.MKTP.KD.ZG,1997,8.83691278400258
9988,"Macao SAR, China",MAC,NY.GDP.MKTP.KD.ZG,1997,-0.279062018409761
9989,St. Martin (French part),MAF,NY.GDP.MKTP.KD.ZG,1997,
9990,Morocco,MAR,NY.GDP.MKTP.KD.ZG,1997,-1.56070234550782
9991,Monaco,MCO,NY.GDP.MKTP.KD.ZG,1997,2.23724875139526
9992,Moldova,MDA,NY.GDP.MKTP.KD.ZG,1997,1.64706456037401
9993,Madagascar,MDG,NY.GDP.MKTP.KD.ZG,1997,3.69349261691789
9994,Maldives,MDV,NY.GDP.MKTP.KD.ZG,1997,8.39794070627707
